Metric,Model,Score,CI_lower,CI_upper
micro_accuracy,Qwen-32B,0.9184810126582279,0.9058227848101266,0.9306329113924051
micro_accuracy,Qwen-72B,0.9124050632911392,0.8992405063291139,0.9255696202531646
micro_accuracy,MedResearcher-R1-32B,0.9012658227848102,0.8881012658227848,0.9149367088607595
micro_accuracy,Medgemma-27B,0.9139240506329114,0.90226582278481,0.9260759493670886
micro_accuracy,Llama-3.3-70B,0.9053164556962026,0.8916455696202532,0.9184810126582279
micro_accuracy,Silver,0.8865822784810127,0.8734050632911392,0.900253164556962
micro_f1,Qwen-32B,0.8314606741573034,0.8054877455369307,0.8576001294498381
micro_f1,Qwen-72B,0.8377483443708609,0.8122909121958242,0.8622461525593844
micro_f1,MedResearcher-R1-32B,0.7944535073409462,0.7672327574612723,0.8239138260530176
micro_f1,Medgemma-27B,0.8374306106264869,0.8137471561212567,0.8615694006309148
micro_f1,Llama-3.3-70B,0.7890743550834598,0.7589862370185074,0.8168205035392534
micro_f1,Silver,0.7847411444141689,0.7571000967658715,0.810678503046127
macro_f1,Qwen-32B,0.8210975179894865,0.7920155405321813,0.8496703541666492
macro_f1,Qwen-72B,0.825202703278777,0.7921071470797391,0.8534454435644917
macro_f1,MedResearcher-R1-32B,0.7662600282348847,0.7304219411282658,0.7996181470940045
macro_f1,Medgemma-27B,0.8117161190318823,0.7831118112042039,0.840228637460888
macro_f1,Llama-3.3-70B,0.7886230462247493,0.7588063672744163,0.816579209952483
macro_f1,Silver,0.7706895312132586,0.7381035581066302,0.8009416844677618
n_f1,Qwen-32B,0.8702928870292888,0.8439763651560177,0.8974034734037916
n_f1,Qwen-72B,0.8772455089820359,0.8499255884265355,0.9013264843193038
n_f1,MedResearcher-R1-32B,0.8464730290456431,0.8177873630169182,0.8755290190035953
n_f1,Medgemma-27B,0.8792134831460673,0.8541539634146342,0.9038506191950465
n_f1,Llama-3.3-70B,0.7980456026058631,0.7607791599513587,0.8318372687016755
n_f1,Silver,0.8211920529801324,0.7881944444444445,0.8501551212161502
i_f1,Qwen-32B,0.8712871287128713,0.8205128205128205,0.9158878504672896
i_f1,Qwen-72B,0.836734693877551,0.7715371375226092,0.8867077519220068
i_f1,MedResearcher-R1-32B,0.7486033519553074,0.6756587837837836,0.8131961259079903
i_f1,Medgemma-27B,0.7604166666666667,0.6847614890741157,0.823544191545965
i_f1,Llama-3.3-70B,0.7937743190661479,0.7321411725067385,0.8432835820895522
i_f1,Silver,0.7659574468085106,0.6909044048734769,0.8252427184466019
w_f1,Qwen-32B,0.7217125382262997,0.6646123778501628,0.7759580079640069
w_f1,Qwen-72B,0.7616279069767442,0.7090220655438045,0.8109974315068493
w_f1,MedResearcher-R1-32B,0.7037037037037036,0.643828054103107,0.7590107516784826
w_f1,Medgemma-27B,0.7955182072829132,0.7492782005870756,0.8375755222945728
w_f1,Llama-3.3-70B,0.7740492170022372,0.7303047183559677,0.8118591298542338
w_f1,Silver,0.7249190938511326,0.6666666666666666,0.7777857829010567
