Metric,Model,Score,CI_lower,CI_upper
whole_B4,R2Gen,9.43,8.949999809265137,9.880000114440918
whole_B4,Longitudinal-R2Gen,9.11,8.6899995803833,9.560250401496887
whole_B4,MLRG,15.0,14.40999984741211,15.619999885559082
whole_B4,HCLLM,11.71,11.300000190734863,12.100000381469727
whole_B4,Libra,23.64,22.90999984741211,24.350000381469727
whole_B4,MAIRA2,19.07,18.420000076293945,19.760000228881836
whole_B4,MedVersa,15.0,14.430000305175781,15.550250196456908
whole_ME,R2Gen,13.35,13.100000381469727,13.600000381469727
whole_ME,Longitudinal-R2Gen,12.99,12.729999542236328,13.230249547958373
whole_ME,MLRG,16.84,16.530000686645508,17.18025031089783
whole_ME,HCLLM,15.63,15.399999618530273,15.850250363349915
whole_ME,Libra,22.57,22.25,22.90999984741211
whole_ME,MAIRA2,19.54,19.189750528335573,19.899999618530273
whole_ME,MedVersa,16.5,16.199750757217405,16.829999923706055
L_B4,R2Gen,2.29,1.9597500383853912,2.640000104904175
L_B4,Longitudinal-R2Gen,3.19,2.7997499525547025,3.5999999046325684
L_B4,MLRG,6.79,6.190000057220459,7.389999866485596
L_B4,HCLLM,5.43,4.940000057220459,5.890249872207642
L_B4,Libra,12.72,11.969750261306764,13.440249586105345
L_B4,MAIRA2,9.45,8.75975022315979,10.090250158309937
L_B4,MedVersa,2.82,2.380000114440918,3.2899999618530273
L_ME,R2Gen,5.76,5.460000038146973,6.079999923706055
L_ME,Longitudinal-R2Gen,6.43,6.110000133514404,6.739999771118164
L_ME,MLRG,9.55,9.119999885559082,9.960000038146973
L_ME,HCLLM,8.95,8.58925015926361,9.300250196456908
L_ME,Libra,13.89,13.409749841690065,14.350250363349915
L_ME,MAIRA2,12.38,11.90999984741211,12.819999694824219
L_ME,MedVersa,7.19,6.799750185012818,7.619999885559082
DF1,R2Gen,33.19,31.839250135421754,34.65025148391724
DF1,Longitudinal-R2Gen,42.36,40.84949855804444,43.83075180053711
DF1,MLRG,53.13,51.799749279022215,54.34000015258789
DF1,HCLLM,43.35,41.959749126434325,44.70025072097778
DF1,Libra,57.61,56.389749431610106,58.849998474121094
DF1,MAIRA2,58.18,56.939998626708984,59.320249748229976
DF1,MedVersa,53.11,51.89950151443481,54.37024898529053
AF1,R2Gen,45.32,43.839500141143795,46.72025117874146
AF1,Longitudinal-R2Gen,49.62,48.12975101470948,51.09025011062622
AF1,MLRG,48.51,47.199750709533696,49.87024898529053
AF1,HCLLM,51.27,49.91949825286866,52.780498790740964
AF1,Libra,57.14,55.92975025177002,58.36075057983399
AF1,MAIRA2,56.3,55.21975116729736,57.5
AF1,MedVersa,43.14,41.609750556945805,44.65025148391724
NF1,R2Gen,54.52,52.8597505569458,55.980249595642086
NF1,Longitudinal-R2Gen,59.28,57.73925161361694,60.84050016403198
NF1,MLRG,57.71,56.249499988555904,59.220501232147214
NF1,HCLLM,62.16,60.69975070953369,63.73049955368042
NF1,Libra,66.51,65.21975116729736,67.72050113677979
NF1,MAIRA2,67.29,66.0397508621216,68.58050174713134
NF1,MedVersa,52.15,50.31974973678589,53.84200010299683
IF1,R2Gen,0.0,0.0,0.0
IF1,Longitudinal-R2Gen,4.72,1.6197500050067901,7.090750145912169
IF1,MLRG,15.82,12.260000228881836,19.281750679016113
IF1,HCLLM,15.59,12.399749636650085,18.600500392913816
IF1,Libra,22.37,18.89949960708618,25.75100002288818
IF1,MAIRA2,21.61,18.1767502784729,24.570749711990356
IF1,MedVersa,12.01,9.039249968528749,14.770500445365906
WF1,R2Gen,5.24,3.180000066757202,7.2607502222061155
WF1,Longitudinal-R2Gen,3.98,1.919499957561493,5.780250203609467
WF1,MLRG,18.21,15.069499707221985,21.1200008392334
WF1,HCLLM,8.46,5.847999906539917,10.950749802589417
WF1,Libra,24.25,20.87649917602539,27.481499576568602
WF1,MAIRA2,24.85,21.757500219345093,27.910249853134154
WF1,MedVersa,17.26,14.038999962806702,20.34100012779236
